;Artwork Title;Artwork Dated;Artwork Medium;Artwork Dimensions;Artwork ID
;A l'affut Modell;2005;Plaster;30 x 18 x 15 cm;WV 2005-001
;Adamah (Schlagwerker);2010;Resin;180 x 84 x 55 cm;WV 2010-003
;Alfons;2000;Bronze ;19 x 11 x 15 cm;WV 2000-004
;Nemo darf;2011;Ceramics;36 x 30 x 26 cm;WV 2011-005
;Beat;2004;Plaster;63 x 23 x 23 cm;WV 2004-003
;C'EST ELLE;2012;Plaster;185 x 64 x 40 cm;WV 2012-001
;Continental Summer;2007;Plaster;187 x 80 x 10 cm;WV 2007-012
;Conversation;2006;Plaster;75 x 16 x 18 cm;WV 2006-002
;Doppelleibigkeit;2016;Ceramics;75 x 27 x 32 cm;WV 2016-006
;Einbrueche (vom Fluegen und Stuerzen);2003;Bronze ;44 x 21 x 24 cm;WV 2003-005
;Resurrection Plant;2014;Ceramics;43 x 18 x 13 cm;WV 2014-006
;Ecce Homo;2009;Resin;201 x 50 x 70 cm;WV 2009-006
;Vado - Berliner Schreitender;2006;Resin;174 x 50 x 70 cm;WV 2006-009
;Eheleute Zenowa;2001;Plaster;39 x 24 x 13 cm;WV 2001-003
;Ellipse der Eitelkeit III;2013;Plaster;45 x32 x 3 cm;WV 2012-005
;Ellipse der Eitelkeit VI;2013;Plaster;45 x32 x 3 cm;WV 2012-006
;Ellipse mit Linien I;2014;Ceramics;45 x32 x 3 cm;WV 2014-007
;Ellipse mit Linien II;2014;Ceramics;45 x32 x 3 cm;WV 2014-008
;Engonasin der Kniende;2013;Resin;150 x 150 x 15 cm;WV 2013-005
;Felice - heitere Materie;2004;Plaster;41 x 20 x 24 cm;WV 2004-005
;Gedankenlinien;2015;Ceramics;23 x 20 x 22 cm;WV 2015-004
;George II;2013;Ceramics;48 x 20 x 20 cm;WV 2013-003
;Morosoph - Dummweiser;2016;Ceramics;18 x 18 x 26 cm;WV 2016-003
;Holy Fool I;2016;Ceramics;27 x 23 x 25 cm;WV 2016-004
;Hachnissini;2005;Plaster;54 x 18 x 15 cm;WV 2005-003
;Erhebungen und Einbrueche;1998;Plaster;44 x 16 x 10 cm;WV 1998-001
;Homeless - glaubt seiner Epoche nicht;2015;Ceramics;56 x 66 x 26 cm;WV 2015-007
;Homme aux Pieds d'Argile;2015;Ceramics;88 x 30 x 37 cm;WV 2015-001
;Isola;2007;Plaster;42 x 16 x 10 cm;WV 2007-011
;Jardin projetﾎ (Maik);2007;Plaster;85 x 54 x 30 cm;WV 2007-001
;Bursa;2005;Bronze ;42 x 16 x 10 cm;WV 2005-002
;Melencolia I;2015;Ceramics;65 x 40 x 40 cm;WV 2015-002
;MP 3 I;2006;Plaster;23 x 20 x 24 cm;WV 2006-003
;MP 3 II;2006;Plaster;23 x 20 x 24 cm;WV 2006-004
;Narziss tauchrt wieder auf;2014;Ceramics;23 x 20 x 24 cm;WV 2014-013
;Not tint thy mind (Susann);2008;Resin;178 x 50 x 45 cm;WV 2008-002
;Portrait C.P.R.T. 1er Etat;2009;Plaster;60 x 60 x 6 cm;WV 2009-001
;Relief Tondo Schwimmer;2014;Ceramics;43 x 43 x 6 cm;WV 2014-003
;Roter Kopf;2015;Ceramics;18 x 30 x 25 cm;WV 2015-008
;Sarang - Das Glueck der Selle ist hier tief in den Koerper eingelagert;2015;Ceramics;44 x 44 x 28 cm;WV 2015-005
;secret vert;2007;Ceramics;23 x 14 x11 ;WV 2007-007
;Sleeping God I;2016;Ceramics;172 x 55 x 57 ;WV 2016-001
;Spine (Torse);2000;Plaster;168 x 55 x 55 cm;WV 2000-003
;Tobias (anima agitatio);2007;Resin;128 x 52 x 65 cm;WV 2007-009
;Er sei nicht  nur Sein  sondern Werden;2014;Ceramics;52 x 40 x 30 cm;WV 2014-009
;Gaenschreier - Sperrangelweit geoeffnetes Tor ins Koerperinnere;2016;Ceramics;33 x18 x25 ;WV 2016-010
;Traum;2016;Ceramics;52 x 20 x 30 cm;WV 2016-008
;Fruehstueck;2016;Plaster;165 x 60 x 12;WV 2008-005
;Skomorokh;2016;Ceramics;72 x 23 x 20 cm;WV 2016-013
;Elck (Everyman) - Nobody knows himself;2016;Ceramics;42 x 30 x 25 cm;WV 2016-014
;Fin folie – Zwiespaeltig;2017;Ceramics;17 x 15 x 32 cm;WV 2017-003
;Erschuetterung der Hirnsubstanz I;2018;Ceramics;42 x16 x 18 cm;WV 2018-002
