;Artwork Title;Artwork Dated;Artwork Medium;Artwork Dimensions;Artwork ID
;Svolta;2008;Pencil on paper;42 x 29 cm;WV-DWG_2008-001
;Sonntagssocken;2008;ink on paper;42 x 29 cm;WV-DWG_2008-002
;Karl und die Fragen I;2009;ink on paper;42 x 29 cm;WV-DWG_2009-001
;Karl und die Fragen II;2009;ink on paper;42 x 29 cm;WV-DWG_2009-002
;Merkmalsvielfalt I;2010;pencil on paper;42 x 29 cm;WV-DWG_2010-001
;Merkmalsvielfalt II;2010;pencil on paper;42 x 29 cm;WV-DWG_2010-002
;Bananengucker;2010;pencil on paper;42 x 29 cm;WV-DWG_2010-003
;Narziss I;2011;ink on paper;42 x 29 cm;WV-DWG_2010-001
;Narziss II;2011;ink on paper;42 x 29 cm;WV-DWG_2010-002
;Unterstrﾚmungen I;2012;ink on paper;42 x 29 cm;WV-DWG_2012-001
;Unterstrﾚmungen II;2012;ink on paper;42 x 29 cm;WV-DWG_2012-002
;Astbrecher;2012;ink on paper;42 x 29 cm;WV-DWG_2012-003
;Modern Don Quichote;2012;ink on paper;42 x 29 cm;WV-DWG_2012-004
;Traumanfang;2013;ink on paper;42 x 29 cm;WV-DWG_2013-001
;Klangschalenstueck I;2013;ink on paper;42 x 29 cm;WV-DWG_2013-002
;Klangschalenstueck II;2013;ink on paper;42 x 29 cm;WV-DWG_2013-003
;Freudentaumel;2013;ink on paper;42 x 29 cm;WV-DWG_2013-004
;Klangkonstruktion;2014;ink on paper;42 x 29 cm;WV-DWG_2014-001
;Klangkonstruktion II;2014;ink on paper;42 x 29 cm;WV-DWG_2014-002
;den Klang an den Rand zeihen I/II;2014;ink on paper;42 x 29 cm;WV-DWG_2014-003
;den Klang an den Rand zeihen II/II;2014;ink on paper;42 x 29 cm;WV-DWG_2014-004
;Rotkﾊppchen trﾊgt Wolf heut I;2015;ink on paper;42 x 29 cm;WV-DWG_2015-001
;Rotkﾊppchen trﾊgt Wolf heut II;2015;ink on paper;42 x 29 cm;WV-DWG_2015-002
;Rotkﾊppchen trﾊgt Wolf heut III;2015;ink on paper;42 x 29 cm;WV-DWG_2015-003
;Rotkﾊppchen trﾊgt Wolf heut IV;2015;ink on paper;42 x 29 cm;WV-DWG_2015-004
;Rotkﾊppchen trﾊgt Wolf heut V;2015;ink on paper;42 x 29 cm;WV-DWG_2015-005
;und der Schlaf kam nach dem Stein;2015;pencil on paper;42 x 29 cm;WV-DWG_2015-006
;und der Schlaf kam nach dem Stein II;2015;pencil on paper;42 x 29 cm;WV-DWG_2015-007
