;Artwork Title;Artwork Dated;Artwork Medium;Artwork Dimensions;Artwork ID
;;;;;
;Maik - Die einzig wesentliche Bewegung  die die Lage und das Schicksal der Seele aendert;2010;Watercolor on paper;29 7 x  42 cm;WV-CLR_2010-003
;Foret en Tete;2010;Watercolor on paper;29 7 x  42 cm;WV-CLR_2010-002
;Holy Fool I;2015;Watercolor on paper;29 7 x 21 cm;WV-CLR_2015-001
;Holy Fool II;2015;Watercolor on paper;29 7 x 21 cm;WV-CLR_2015-002
;Er sei nicht nur Sein  sondern auch Werden;2015;Watercolor on paper;29 7 x 21 cm;WV-CLR_2015-003
;Fools Face;2016;Watercolor on paper;29 7 x 21 cm;WV-CLR_2016-001
;Fools Face;2016;Watercolor on paper;29 7 x 21 cm;WV-CLR_2016-002
;Fools Face;2016;Watercolor on paper;29 7 x 21 cm;WV-CLR_2016-003
;Fools Face;2016;Watercolor on paper;29 7 x 21 cm;WV-CLR_2016-004
;Fools Face;2016;Watercolor on paper;29 7 x 21 cm;WV-CLR_2016-005
;Fools Face;2016;Watercolor on paper;29 7 x 21 cm;WV-CLR_2016-006
;Fools Face;2017;Watercolor on paper;29 7 x 21 cm;WV-CLR_2017-001
;Fools Face;2017;Watercolor on paper;29 7 x 21 cm;WV-CLR_2017-002
;Fools Face;2017;Watercolor on paper;29 7 x 21 cm;WV-CLR_2017-003
;Fools Face;2017;Watercolor on paper;29 7 x 21 cm;WV-CLR_2017-004
;Fools Face;2017;Watercolor on paper;29 7 x 21 cm;WV-CLR_2017-005
;Fools Face;2017;Watercolor on paper;29 7 x 21 cm;WV-CLR_2017-006
;Fools Face;2017;Watercolor on paper;29 7 x 21 cm;WV-CLR_2017-007
;Fools Face;2017;Watercolor on paper;29 7 x 21 cm;WV-CLR_2017-008
;Fools Face;2017;Watercolor on paper;29 7 x 21 cm;WV-CLR_2017-009
;Fools Face;2017;Watercolor on paper;29 7 x 21 cm;WV-CLR_2017-010
;Fools Face;2017;Watercolor on paper;29 7 x 21 cm;WV-CLR_2017-011
;Maulheld;2018;Watercolor on paper;29 7 x 21 cm;WV-CLR_2018-001
;Lauf der Zeit im grossen Massstab messen;2018;Watercolor on paper;29 7 x 21 cm;WV-CLR_2018-002
